time,PriceUSD,raw_signal,adjusted_signal,dynamic_multiplier,daily_allocation_usd,daily_btc_purchase,mvrv_zone,vol_regime
2017-03-06,1282.25465663355,0.2540990308866492,0.2540990308866492,2.1431936848812287,214.31936848812288,0.1671425932277759,Neutral,Low
2017-03-07,1234.47646206897,-0.23641421036869603,-0.23641421036869603,0.49201669452403307,49.20166945240331,0.03985630424248172,Neutral,Low
2017-03-08,1152.13938924606,-0.17663718697238268,-0.2119646243668592,0.529462004888097,52.9462004888097,0.04595468307307571,Neutral,Medium
2017-03-09,1193.45552659264,0.7554274640554682,2.5,3.0,300.0,0.2513709085218376,Deep Value,Medium
2017-03-10,1098.53014903565,0.2941813510504811,0.3530176212605773,2.8836384969901343,288.36384969901343,0.26249971377859316,Neutral,Medium
2017-03-11,1176.822921391,-0.41807893701617416,-0.501694724419409,0.22199860669943428,22.199860669943426,0.01886423204920523,Neutral,Medium
2017-03-12,1231.74835663355,0.3190250061994894,0.5742450111590809,3.0,300.0,0.2435562413250706,Value,Medium
2017-03-13,1239.39629631794,-0.22189557681524663,-0.26627469217829597,0.4498576513766363,44.98576513766363,0.036296514094248604,Neutral,Medium
2017-03-14,1246.53656487434,-0.0253509521901656,-0.03042114262819872,0.9127772282513931,91.2777228251393,0.0732250664739552,Neutral,Medium
2017-03-15,1258.65138147282,0.3965520029658959,0.7137936053386126,3.0,300.0,0.2383503521435402,Value,Medium
2017-03-16,1178.02075037989,-0.23169739528566752,-0.278036874342801,0.4342605310517146,43.426053105171455,0.03686357230224285,Neutral,Medium
2017-03-17,1072.08253816482,0.3956533980886261,0.712176116559527,3.0,300.0,0.27982920094336855,Value,Medium
2017-03-18,962.569056165985,-0.16748242141634465,-0.11723769499144124,0.7034819325604554,70.34819325604555,0.07308378843617713,Neutral,High
2017-03-19,1020.22025353594,0.2748808240671221,0.19241657684698546,1.7811330923944269,178.11330923944269,0.17458319281755777,Neutral,High
2017-03-20,1037.7563458796,0.05356148372643536,0.03749303860850475,1.1190488862565444,111.90488862565444,0.10783349007690633,Neutral,High
2017-03-21,1111.81826358854,-0.3856769219400738,-0.26997384535805163,0.44489297290270047,44.489297290270045,0.04001490058876617,Neutral,High
2017-03-22,1037.30257013442,0.07613476834742877,0.05329433784320014,1.1733735941269618,117.33735941269619,0.11311777565295235,Neutral,High
2017-03-23,1028.17285628288,0.03611987297898192,0.025283911085287342,1.0788026117482128,107.88026117482129,0.10492424548615034,Neutral,High
2017-03-24,935.063496201052,-0.32929103615029887,-0.23050372530520918,0.500818671815006,50.08186718150059,0.053559857041764226,Neutral,High
2017-03-25,968.543329281122,0.3960852340572074,0.4158894957600678,3.0,300.0,0.30974349926364964,Value,High
2017-03-26,962.95805458796,0.618647166542041,0.649579524869143,3.0,300.0,0.3115400495075219,Value,High
2017-03-27,1042.91919777908,-0.278070801930288,-0.1946495613512016,0.5576918640713131,55.76918640713131,0.05347412007171126,Neutral,High
2017-03-28,1045.16293161894,-0.02571273824985701,-0.017998916774899905,0.9474351853535161,94.74351853535161,0.09064952044232517,Neutral,High
2017-03-29,1039.68861578025,0.07509827227311063,0.05256879059117744,1.1708223577376087,117.08223577376087,0.11261279001876416,Neutral,High
2017-03-30,1037.98766142607,-0.06919871215141275,-0.048439098505988924,0.8647478689532758,86.47478689532758,0.0833100335475295,Neutral,High
2017-03-31,1081.74353109293,-0.370893143574166,-0.2596252005019162,0.45892173221766536,45.892173221766534,0.04242426407246437,Neutral,High
2017-04-01,1089.52477182934,0.2112469395850618,0.14787285770954325,1.5583359810313215,155.83359810313215,0.1430289628399027,Neutral,High
2017-04-02,1105.56295575687,0.3424205172984579,0.3595415431633807,2.9406323095163387,294.06323095163384,0.26598506165604807,Value,High
2017-04-03,1144.6647710111,-0.3362051591517324,-0.23534361140621265,0.49359949266451836,49.359949266451835,0.04312175102833945,Neutral,High
2017-04-04,1141.92191870251,0.33137398765503473,0.2319617913585243,2.0054838915830593,200.54838915830592,0.1756235569820533,Neutral,High
2017-04-05,1135.81164377557,0.48080774134042936,0.5048481284074507,3.0,300.0,0.2641283012408335,Value,High
2017-04-06,1194.59645938048,0.8797508478234195,1.8474767804291807,3.0,300.0,0.2511308296992447,Deep Value,High
2017-04-07,1191.73145108124,0.2534553767227656,0.1774187637059359,1.7027699222549646,170.27699222549646,0.14288201597013045,Neutral,High
